Fold,Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Avg-Precision
1,Gradient Boosting,0.9655,0.4286,0.541,0.4783,0.9568,0.4541
1,Logistic Regression,0.8576,0.155,0.8689,0.263,0.9305,0.2164
1,Random Forest,0.9573,0.3293,0.4426,0.3776,0.9578,0.3353
2,Gradient Boosting,0.962,0.3784,0.459,0.4148,0.8936,0.3753
2,Logistic Regression,0.8326,0.1173,0.7213,0.2018,0.8655,0.2837
2,Random Forest,0.9476,0.2778,0.4918,0.355,0.8973,0.2859
3,Gradient Boosting,0.9525,0.35,0.6667,0.459,0.8813,0.4535
3,Logistic Regression,0.8617,0.1517,0.7778,0.2539,0.869,0.3237
3,Random Forest,0.9448,0.303,0.6349,0.4103,0.864,0.4054
4,Gradient Boosting,0.9405,0.2578,0.5323,0.3474,0.927,0.3206
4,Logistic Regression,0.7878,0.12,0.9677,0.2135,0.9425,0.2741
4,Random Forest,0.9323,0.2313,0.5484,0.3254,0.9312,0.319
5,Gradient Boosting,0.9588,0.3418,0.4426,0.3857,0.9077,0.36
5,Logistic Regression,0.8504,0.1404,0.8033,0.239,0.895,0.3264
5,Random Forest,0.9463,0.2316,0.3607,0.2821,0.9003,0.2625
